ID,Name,Birthday,Location_during_crime,Eye_Color,Skin_Color,Hair_Color,Height
P299,Marco Rossi,1969/07/10,fourth floor,red,indigo,orange,191
P086,Aarav Patel,1979/03/10,second floor,indigo,indigo,green,198
P022,Li Wei,1990/10/08,fourth floor,blue,red,violet,154
P003,Haruto Tanaka,1996/27/10,lobby,green,blue,violet,158
P036,Kwame Mensah,1991/26/02,fourth floor,blue,yellow,orange,184
P158,John Smith,05/11/1982,,,yellow,blue,172
P129,Min-seo Kim,2000/22/06,fourth floor,indigo,blue,orange,199
P181,Diego Fernandez,07/22/1964,third floor,,violet,violet,196
P136,Elena Ricci,1988/22/07,,orange,orange,red,198
P157,Priya Sharma,1974/23/04,second floor,blue,red,red,200
P209,Chen Jing,1997/08/02,lobby,green,green,orange,186
P160,Sakura Nakamura,1960/09/04,second floor,yellow,green,red,161
P037,Adebola Okafor,1994/17/08,,blue,red,orange,183
P264,James Johnson,1962/09/04,third floor,orange,yellow,indigo,176
P075,Ji-hoon Park,1975/17/05,second floor,orange,orange,yellow,190
P136,Mateo Rojas,1988/22/07,,orange,orange,red,198
P224,Giovanni Moretti,1990/08/08,second floor,violet,green,violet,182
P058,Ananya Iyer,01/04/1987,second floor,,indigo,red,191
P292,Wang Lei,1985/01/03,third floor,orange,violet,green,189
P287,Yuki Takahashi,06/24/2005,,,yellow,indigo,197
P231,Fatou Diop,11/01/1962,second floor,yellow,green,orange,163
P267,Michael Williams,05/19/1992,fourth floor,,blue,green,188
P178,Seo-yeon Choi,2007/21/02,lobby,yellow,blue,yellow,196
P242,Lucas Silva,1985/07/11,fourth floor,red,violet,yellow,172
P230,Giulia Bianchi,03/03/2006,fourth floor,,orange,indigo,188
P262,Ravi Verma,1961/20/10,second floor,orange,orange,violet,177
P104,Xiao Mei,1987/27/10,,blue,blue,red,171
P155,Takeshi Yamamoto,05/16/1960,fourth floor,green,green,blue,160
P195,Omar Diallo,2002/03/02,,orange,green,green,189
P052,David Brown,1967/31/08,,green,violet,indigo,188
P163,Jung-hoon Lee,1995/16/05,,yellow,orange,blue,187
P205,Isabella Ramirez,1984/24/03,fourth floor,orange,orange,yellow,158
P029,Alessandro De Luca,2005/12/05,fourth floor,green,orange,violet,160
P193,Sanya Kapoor,04/13/1970,third floor,,violet,violet,162
P229,Hui Zhang,1979/31/10,,green,orange,yellow,170
P049,Momo Shimizu,1974/22/02,third floor,orange,blue,blue,171
P249,Nia Okeke,1990/17/03,,green,orange,red,151
P252,Robert Miller,1969/23/07,lobby,red,violet,yellow,187
P017,Soo-jin Han,1980/08/09,fourth floor,indigo,indigo,red,195
P080,Carlos Gutierrez,07/02/1994,lobby,red,orange,violet,172
P048,Valentina Torres,1991/07/12,second floor,indigo,yellow,red,157
P279,Francesco Romano,10/01/1980,,,yellow,orange,150
P098,Meera Raghavan,04/21/1987,,,indigo,indigo,157
P171,Hong Rui,2004/02/04,lobby,yellow,orange,blue,194
P286,Rina Kobayashi,1963/18/08,,orange,violet,yellow,176
P090,Kwesi Boateng,1995/18/10,lobby,orange,yellow,blue,159
P150,William Davis,1991/03/04,second floor,red,red,red,197
P251,Hye-jin Kang,07/01/2006,,,violet,blue,156
P166,Gabriel Ortiz,01/13/1977,fourth floor,,violet,yellow,176
P291,Lucia Morales,1969/22/08,fourth floor,violet,violet,red,154
P244,Dario Conti,1996/17/07,lobby,blue,yellow,orange,179
P275,Arjun Mehta,2004/25/11,third floor,green,yellow,blue,198
P191,Fang Lin,1977/22/07,fourth floor,orange,indigo,indigo,195
P073,Naoko Fujimoto,02/27/1969,,orange,green,red,157
P272,Samuel Osei,1978/29/08,third floor,red,orange,violet,199
P060,Thomas Anderson,09/28/1963,second floor,yellow,red,green,154
P001,Young-min Seo,2001/13/08,third floor,green,blue,violet,190
P105,Javier Castillo,06/22/1979,second floor,,violet,indigo,191
P208,Camila Mendoza,1985/25/01,second floor,orange,indigo,violet,174
P125,Hao Jiang,04/23/1985,third floor,yellow,violet,yellow,173
P207,Fakhreya Mohammadi,1971/26/06,fourth floor,indigo,red,indigo,187
P145,Shrinav Loka,11/07/2000,second floor,,indigo,violet,173
P063,Aryan Malhotra,1971/27/11,second floor,blue,violet,violet,165
P141,Andy Sun,1995/28/09,,yellow,orange,violet,188
P089,Alexander Morgan,1993/27/11,second floor,orange,orange,red,164
P076,Onur Gunduz,12/07/1988,fourth floor,,indigo,green,181
P296,Guanhong Wang,03/20/1989,third floor,,blue,yellow,196
P179,Aditya Jain,1973/23/08,fourth floor,indigo,red,orange,180
P216,Sai Naraharisetti,12/10/1967,lobby,,yellow,blue,172
P194,Matthew Mueller,05/27/1986,third floor,green,orange,violet,151
P265,Shengjie Xu,1990/25/02,fourth floor,violet,indigo,red,181
P206,Amanvir Parhar,1968/13/01,fourth floor,blue,violet,red,186
P039,Austin Luu,1992/02/09,fourth floor,green,blue,green,167
P053,Abhinav Bapanapalli,1982/17/03,third floor,orange,red,yellow,186
P082,Ryan Selser,1988/16/04,second floor,blue,blue,orange,153
P256,Yonghan Lee,1959/06/09,fourth floor,orange,blue,indigo,192
P255,Dehao Yuan,1962/01/08,fourth floor,violet,yellow,orange,166
P132,Kobe Wang,1972/22/07,,violet,blue,green,192
P213,Mueez Chaudhry,1963/07/06,lobby,green,violet,blue,156
P293,Curie Kim,1989/05/01,fourth floor,indigo,blue,orange,197
P158,Richard Gancayco,05/11/1982,,,yellow,blue,172
P172,Anjali Venkatesh,1975/30/07,third floor,indigo,red,blue,194
P140,Hemang Vasu,2005/01/04,lobby,orange,orange,blue,160
P023,Marvin Lin,03/18/1992,,violet,blue,blue,180
P028,Aishani Mukherjee,1994/06/07,third floor,indigo,blue,green,195
P084,Raymond Chen,1964/22/05,second floor,violet,violet,indigo,183
P154,Tanvi Panse,2000/30/10,,blue,indigo,yellow,155
P281,Zichao Liang,1972/19/10,fourth floor,indigo,orange,blue,195
P170,Sayee Naresh Kumar,1962/19/11,third floor,yellow,blue,indigo,167
P139,Kimber Gonzalez Lopez,1998/13/07,second floor,orange,yellow,red,189
P156,Kusum Choudhary,1982/25/03,third floor,yellow,yellow,orange,152
P094,Jay Sampat,06/06/1964,,,yellow,indigo,183
P067,Eshan Khan,02/21/1991,fourth floor,green,yellow,green,169
P143,Kenneth Swindell,1997/16/07,,yellow,indigo,violet,150
P198,Alexander Rauch,2003/22/02,third floor,indigo,red,red,172
